transaction_id,timestamp,source_account,destination_account,amount,currency,amount_received,currency_received,payment_type
TX0004311948,2022-09-09T03:15:00Z,24132:801801B40,1588:8070F4600,666.62,US Dollar,666.62,US Dollar,Cheque
TX0004311956,2022-09-09T03:15:00Z,1588:800BDE5E0,111631:807103CA0,276.55,US Dollar,276.55,US Dollar,Cheque
TX0004311997,2022-09-09T03:15:00Z,29251:80672E520,15730:80743A5F0,235.58,US Dollar,235.58,US Dollar,Cheque
TX0004312122,2022-09-09T03:15:00Z,23537:8072C9630,5836:807F49F80,1876.93,US Dollar,1876.93,US Dollar,Cheque
TX0004312144,2022-09-09T03:15:00Z,21611:8027DA750,17748:8080DA680,742.52,US Dollar,742.52,US Dollar,Cheque
TX0004312153,2022-09-09T03:15:00Z,3698:80244FD00,122080:808180A90,959.92,US Dollar,959.92,US Dollar,Credit Card
TX0004312173,2022-09-09T03:15:00Z,29279:806A6EDC0,111491:80823D5B0,1842.84,US Dollar,1842.84,US Dollar,Credit Card
TX0004312174,2022-09-09T03:15:00Z,1411:800FA1420,21360:80825B1E0,400.97,US Dollar,400.97,US Dollar,Cheque
TX0004312189,2022-09-09T03:15:00Z,1688:803384940,24515:808501200,398.11,US Dollar,398.11,US Dollar,Cheque
TX0004312202,2022-09-09T03:15:00Z,1686:803D53C70,19601:808525DA0,136669.45,US Dollar,136669.45,US Dollar,ACH
TX0004312240,2022-09-09T03:15:00Z,12359:808519D70,22205:8085178A0,4256.94,US Dollar,4256.94,US Dollar,ACH
TX0004312293,2022-09-09T03:15:00Z,32118:8088BDA30,1467:8088BFEF0,227.27,US Dollar,227.27,US Dollar,ACH
TX0004312383,2022-09-09T03:15:00Z,21550:801E19230,10642:808FDE330,1517.16,US Dollar,1517.16,US Dollar,ACH
TX0004312399,2022-09-09T03:15:00Z,11813:806E85AD0,222664:809168D20,1513.44,US Dollar,1513.44,US Dollar,Cheque
TX0004312404,2022-09-09T03:15:00Z,6803:80330D320,123773:8091D4AD0,212.11,US Dollar,212.11,US Dollar,Cash
TX0004312504,2022-09-09T03:15:00Z,1467:802C30020,117299:809B15820,758362.35,US Dollar,758362.35,US Dollar,Cash
TX0004312564,2022-09-09T03:15:00Z,310240:80A037860,226657:80A038250,342.05,US Dollar,342.05,US Dollar,ACH
TX0004312638,2022-09-09T03:15:00Z,21174:8009F1F30,513:80A524000,11.71,US Dollar,11.71,US Dollar,Cash
TX0004312670,2022-09-09T03:15:00Z,1362:808E79BB0,18549:80A82DB90,1868.53,US Dollar,1868.53,US Dollar,Cheque
TX0004312677,2022-09-09T03:15:00Z,29685:80601B730,116214:80A8CC0B0,7464.35,US Dollar,7464.35,US Dollar,Cheque
TX0004312719,2022-09-09T03:15:00Z,24515:807EACE10,12585:80AC9C820,2085.11,US Dollar,2085.11,US Dollar,Credit Card
TX0004312730,2022-09-09T03:15:00Z,22957:808953FA0,22957:808953FA0,4277.81,UK Pound,5525.46,US Dollar,ACH
TX0004312731,2022-09-09T03:15:00Z,22957:808953FA0,16788:80ACAE3B0,5525.46,US Dollar,5525.46,US Dollar,Credit Card
TX0004312739,2022-09-09T03:15:00Z,3698:8044C9790,219969:80AD19790,146.33,US Dollar,146.33,US Dollar,Wire
TX0004312811,2022-09-09T03:15:00Z,17246:808719480,220083:80B3AB2F0,436.49,US Dollar,436.49,US Dollar,Cheque
TX0004312903,2022-09-09T03:15:00Z,111425:805A97380,123102:80B859610,68.77,US Dollar,68.77,US Dollar,Cheque
TX0004312908,2022-09-09T03:15:00Z,16788:8032CB7B0,111425:80B85F9A0,1790.96,US Dollar,1790.96,US Dollar,ACH
TX0004312929,2022-09-09T03:15:00Z,2385:80721E260,115159:80B82ACB0,1595.52,US Dollar,1595.52,US Dollar,Cheque
TX0004313035,2022-09-09T03:15:00Z,316513:80BF85890,8805:80BF86820,738.56,US Dollar,738.56,US Dollar,ACH
TX0004313039,2022-09-09T03:15:00Z,315428:80BFDF170,222363:80BFDF120,299.96,US Dollar,299.96,US Dollar,ACH
TX0004313058,2022-09-09T03:15:00Z,1457:805A45D70,9482:80C0B3BC0,1122.66,US Dollar,1122.66,US Dollar,Cheque
TX0004313064,2022-09-09T03:15:00Z,25981:802314680,132306:80C0D4980,218.22,US Dollar,218.22,US Dollar,Cheque
TX0004313138,2022-09-09T03:15:00Z,310501:80C24EC50,310501:80C24EC50,6079.84,Yen,57.68,US Dollar,ACH
TX0004313139,2022-09-09T03:15:00Z,310501:80C24EC50,223233:80C209350,57.68,US Dollar,57.68,US Dollar,Cash
TX0004313141,2022-09-09T03:15:00Z,225156:80B6DB670,214615:80C3B5790,99.08,US Dollar,99.08,US Dollar,Cheque
TX0004313149,2022-09-09T03:15:00Z,126426:80A1819A0,132725:80C3FEA00,178.87,US Dollar,178.87,US Dollar,Cash
TX0004313194,2022-09-09T03:15:00Z,323535:80C81B690,2824:80C810A30,171.85,US Dollar,171.85,US Dollar,Cash
TX0004313239,2022-09-09T03:15:00Z,17732:8031EB1D0,1588:80CBDB530,945.37,US Dollar,945.37,US Dollar,Credit Card
TX0004313309,2022-09-09T03:15:00Z,1:80032AF30,14804:80D145090,1329.36,US Dollar,1329.36,US Dollar,Cheque
TX0004313386,2022-09-09T03:15:00Z,214621:809C29130,25075:80D51A2A0,8487.98,US Dollar,8487.98,US Dollar,Credit Card
TX0004313392,2022-09-09T03:15:00Z,13145:8039C49C0,6156:80D567320,90.87,US Dollar,90.87,US Dollar,Cheque
TX0004313418,2022-09-09T03:15:00Z,1124:800AD0720,12719:80D7DAF80,1836477.68,US Dollar,1836477.68,US Dollar,Wire
TX0004313422,2022-09-09T03:15:00Z,25637:80D2A00E0,8798:80D7FEC60,82.38,US Dollar,82.38,US Dollar,Cheque
TX0004313433,2022-09-09T03:15:00Z,1047:804DF7AC0,128684:80DA21ED0,154.86,US Dollar,154.86,US Dollar,Cheque
TX0004313458,2022-09-09T03:15:00Z,13432:80D9197B0,231706:80DB935E0,9584.56,US Dollar,9584.56,US Dollar,Cheque
TX0004313466,2022-09-09T03:15:00Z,70:100428660,124284:80DBB2550,5.36,US Dollar,5.36,US Dollar,Cash
TX0004313524,2022-09-09T03:15:00Z,25075:80D16D3B0,137335:80DEEBCD0,28.39,US Dollar,28.39,US Dollar,Cheque
TX0004313608,2022-09-09T03:15:00Z,330601:80E1DCB40,330601:80E1DCB40,2735.72,Yuan,408.46,US Dollar,ACH
TX0004313609,2022-09-09T03:15:00Z,330601:80E1DCB40,27954:80E1DCC80,408.46,US Dollar,408.46,US Dollar,Credit Card
TX0004313623,2022-09-09T03:15:00Z,11642:80494C5C0,219184:80E326C90,1172.23,US Dollar,1172.23,US Dollar,Credit Card
TX0004313704,2022-09-09T03:15:00Z,226657:80E6F6390,1068:80E6F2900,3579.34,US Dollar,3579.34,US Dollar,ACH
TX0004313705,2022-09-09T03:15:00Z,17732:80E6F4B90,1068:80E6F2900,4867.64,US Dollar,4867.64,US Dollar,ACH
TX0004313731,2022-09-09T03:15:00Z,70:100428660,227513:80EB5F070,518840.53,US Dollar,518840.53,US Dollar,Cheque
TX0004313735,2022-09-09T03:15:00Z,9129:80424D4D0,1362:80EC0C0C0,1839.38,US Dollar,1839.38,US Dollar,Cheque
TX0004313736,2022-09-09T03:15:00Z,9129:80424D4D0,1362:80EC0C0C0,26.63,US Dollar,26.63,US Dollar,Credit Card
TX0004313773,2022-09-09T03:15:00Z,310839:80EEAD600,37969:80EEAD5B0,1004.39,US Dollar,1004.39,US Dollar,Cheque
TX0004313786,2022-09-09T03:15:00Z,2845:8039BE960,2053:80EFE1520,438.11,US Dollar,438.11,US Dollar,Credit Card
TX0004313796,2022-09-09T03:15:00Z,221332:80DCC6F60,128684:80F1D5630,5068.5,US Dollar,5068.5,US Dollar,Cheque
TX0004313857,2022-09-09T03:15:00Z,342342:80F910B70,115359:80F910BC0,262.92,US Dollar,262.92,US Dollar,Credit Card
TX0004313860,2022-09-09T03:15:00Z,127977:80A5402F0,6156:80FAC1130,296.14,US Dollar,296.14,US Dollar,Cheque
TX0004313932,2022-09-09T03:15:00Z,4523:80FC82350,15085:8102D0170,10483.47,US Dollar,10483.47,US Dollar,Credit Card
TX0004313995,2022-09-09T03:15:00Z,2947:80ACD2E90,137273:8105F0530,146.57,US Dollar,146.57,US Dollar,Cash
TX0004314018,2022-09-09T03:15:00Z,6276:805A2BF20,242061:8107739B0,12990.45,US Dollar,12990.45,US Dollar,Cheque
TX0004314032,2022-09-09T03:15:00Z,6179:80AE5E110,236684:80E1E80A0,26613.85,US Dollar,26613.85,US Dollar,Cheque
TX0004314122,2022-09-09T03:15:00Z,2843:80341CF60,35036:810F51610,1208.77,US Dollar,1208.77,US Dollar,Wire
TX0004314181,2022-09-09T03:15:00Z,12:805F129F0,236418:811470DE0,617.1,US Dollar,617.1,US Dollar,Credit Card
TX0004314244,2022-09-09T03:15:00Z,316553:811A56CD0,2952:811A56C80,544.81,US Dollar,544.81,US Dollar,Cheque
TX0004314254,2022-09-09T03:15:00Z,223233:80D0C9A80,231706:811B21310,649502.41,US Dollar,649502.41,US Dollar,Cheque
TX0004314265,2022-09-09T03:15:00Z,2439:809825530,227171:811C653B0,240.8,US Dollar,240.8,US Dollar,Credit Card
TX0004314285,2022-09-09T03:15:00Z,328953:811DED030,239330:811DECB80,194.14,US Dollar,194.14,US Dollar,Cash
TX0004314293,2022-09-09T03:15:00Z,70:100428660,231490:811E1EF40,248.48,US Dollar,248.48,US Dollar,Credit Card
TX0004314328,2022-09-09T03:15:00Z,10057:804779B60,10057:804779B60,188.89,Yen,1.79,US Dollar,ACH
TX0004314329,2022-09-09T03:15:00Z,10057:804779B60,244886:81221D7B0,1.79,US Dollar,1.79,US Dollar,Credit Card
TX0004314372,2022-09-09T03:15:00Z,1068:80A0C7960,130449:8126098B0,95.2,US Dollar,95.2,US Dollar,Cheque
TX0004314375,2022-09-09T03:15:00Z,12381:80C843FC0,211075:81260A610,6456.78,US Dollar,6456.78,US Dollar,Credit Card
TX0004314385,2022-09-09T03:15:00Z,223233:81260CBA0,243805:812605C00,53002428.32,US Dollar,53002428.32,US Dollar,ACH
TX0004314408,2022-09-09T03:15:00Z,243805:8116E0F30,40187:812668690,145254.66,US Dollar,145254.66,US Dollar,Cash
TX0004314440,2022-09-09T03:15:00Z,23402:800AF6360,28255:81283E980,102.61,US Dollar,102.61,US Dollar,Credit Card
TX0004314470,2022-09-09T03:15:00Z,12803:806C77030,1853:812A64960,3315.0,US Dollar,3315.0,US Dollar,ACH
TX0004314495,2022-09-09T03:15:00Z,70:100428660,29292:812BCD090,519.94,US Dollar,519.94,US Dollar,Cheque
TX0004314497,2022-09-09T03:15:00Z,36932:80EC30C70,35036:812BCEF00,103.1,US Dollar,103.1,US Dollar,Cash
TX0004314533,2022-09-09T03:15:00Z,39878:812DE5E60,12719:812DE6840,1129.57,US Dollar,1129.57,US Dollar,ACH
TX0004314542,2022-09-09T03:15:00Z,1:8007308F0,137002:812EEFFE0,310785.2,US Dollar,310785.2,US Dollar,Cash
TX0004314546,2022-09-09T03:15:00Z,70:100428660,1467:812FA1DC0,18.3,US Dollar,18.3,US Dollar,Cash
TX0004314568,2022-09-09T03:15:00Z,114674:807DCF1D0,1457:813091880,329.26,US Dollar,329.26,US Dollar,Cheque
TX0004314598,2022-09-09T03:15:00Z,908:806E8BF10,146167:8131B35B0,147.88,US Dollar,147.88,US Dollar,Wire
TX0004314640,2022-09-09T03:15:00Z,5140:8066BBC60,245993:81329E3D0,567.98,US Dollar,567.98,US Dollar,Cheque
TX0004314687,2022-09-09T03:15:00Z,223645:808A38140,229089:8133CD010,207.06,US Dollar,207.06,US Dollar,Cheque
TX0004314782,2022-09-09T03:15:00Z,1588:803C09680,149758:8138F5BD0,2626.49,US Dollar,2626.49,US Dollar,Credit Card
TX0004314859,2022-09-09T03:15:00Z,224449:80C25C8F0,44782:813ADAA10,39.98,US Dollar,39.98,US Dollar,Cheque
TX0004314896,2022-09-09T03:15:00Z,346257:813EF9930,218885:813F1D040,78.05,US Dollar,78.05,US Dollar,Cash
TX0004314935,2022-09-09T03:15:00Z,2845:8028415C0,251107:814393B00,7559.71,US Dollar,7559.71,US Dollar,Cash
TX0004314996,2022-09-09T03:15:00Z,20:8000640D0,22:80010E3C0,372.66,Euro,372.66,Euro,Cash
TX0004315100,2022-09-09T03:15:00Z,23:8000FE790,20:800897620,9294.17,Euro,9294.17,Euro,Cheque
TX0004315125,2022-09-09T03:15:00Z,410:80035ACF0,2591:8009B45E0,1979.01,Euro,1979.01,Euro,ACH
TX0004315128,2022-09-09T03:15:00Z,410:80029B040,2591:8009D56C0,553.24,Euro,553.24,Euro,Cheque
TX0004315197,2022-09-09T03:15:00Z,12:8002E6730,1655:800E79EA0,253.23,Euro,253.23,Euro,Cheque
TX0004315259,2022-09-09T03:15:00Z,11056:80099E090,1501:80120CBD0,181.65,Euro,181.65,Euro,Cheque
TX0004315277,2022-09-09T03:15:00Z,1501:800C6D9D0,23344:8013CB140,48.24,Euro,48.24,Euro,Cheque
TX0004315306,2022-09-09T03:15:00Z,70:1004286A8,3489:8015225F0,153.16,Euro,153.16,Euro,Cheque
TX0004315380,2022-09-09T03:15:00Z,31726:801BACDB0,12:801BA9130,430.25,Euro,430.25,Euro,ACH
TX0004315407,2022-09-09T03:15:00Z,1299:80097C860,1299:801CA5100,5390.47,Euro,5390.47,Euro,Cheque
TX0004315468,2022-09-09T03:15:00Z,20:8006A0800,1299:801F982E0,8329.32,Euro,8329.32,Euro,Credit Card
TX0004315542,2022-09-09T03:15:00Z,1420:80072F990,1420:80072F990,1431.37,US Dollar,1221.53,Euro,ACH
TX0004315543,2022-09-09T03:15:00Z,1420:80072F990,13265:802348C20,1221.53,Euro,1221.53,Euro,Cheque
TX0004315559,2022-09-09T03:15:00Z,35152:802418F90,410:802419120,111.42,Euro,111.42,Euro,Credit Card
TX0004315565,2022-09-09T03:15:00Z,70:1004286A8,23344:801D7D6E0,688.9,Euro,688.9,Euro,Credit Card
TX0004315580,2022-09-09T03:15:00Z,70:1004286A8,1655:80253C5C0,216.18,Euro,216.18,Euro,Credit Card
TX0004315596,2022-09-09T03:15:00Z,21918:8018BDC70,11056:8025F1230,11668.37,Euro,11668.37,Euro,Cheque
TX0004315649,2022-09-09T03:15:00Z,70:1004286A8,21918:802721570,78.87,Euro,78.87,Euro,Cheque
TX0004315661,2022-09-09T03:15:00Z,3489:8014CDE40,2467:8027B2890,80.86,Euro,80.86,Euro,Credit Card
TX0004315678,2022-09-09T03:15:00Z,410:8002E95F0,13345:8028C99D0,1611.21,Euro,1611.21,Euro,Cash
TX0004315690,2022-09-09T03:15:00Z,1501:8021B04F0,23344:802980A10,3082.11,Euro,3082.11,Euro,Cheque
TX0004315708,2022-09-09T03:15:00Z,11657:800B844B0,1547:802A94990,6175.44,Euro,6175.44,Euro,Cheque
TX0004315739,2022-09-09T03:15:00Z,2915:8021B9880,16643:802C8F720,98.37,Euro,98.37,Euro,Wire
TX0004315750,2022-09-09T03:15:00Z,21749:8021B1950,22758:802D10CA0,8295.81,Euro,8295.81,Euro,Cheque
TX0004315768,2022-09-09T03:15:00Z,3123:802575AA0,16450:80278D510,513.66,Euro,513.66,Euro,Cheque
TX0004315779,2022-09-09T03:15:00Z,12797:80208E3B0,24144:802E4F5C0,230651.43,Euro,230651.43,Euro,Cheque
TX0004315806,2022-09-09T03:15:00Z,2591:8025FD760,26818:802ECBE40,1383.0,Euro,1383.0,Euro,Cheque
TX0004315826,2022-09-09T03:15:00Z,1655:801C789B0,1655:803223BA0,2470.49,Euro,2470.49,Euro,Credit Card
TX0004315848,2022-09-09T03:15:00Z,16643:803353980,16450:8033532F0,1919.4,Euro,1919.4,Euro,ACH
TX0004315850,2022-09-09T03:15:00Z,1665:801F59A20,11056:803358660,9747.77,Euro,9747.77,Euro,Cheque
TX0004315955,2022-09-09T03:15:00Z,12513:802413950,23:8043CA5F0,840.15,Euro,840.15,Euro,Cheque
TX0004316003,2022-09-09T03:15:00Z,1916:8040ADFA0,6625:804E82360,109.76,Euro,109.76,Euro,Credit Card
TX0004316010,2022-09-09T03:15:00Z,22775:8026E9580,3045:805064070,286.64,Euro,286.64,Euro,Cheque
TX0004316013,2022-09-09T03:15:00Z,1024:800EA4930,21918:80507E050,229.06,Euro,229.06,Euro,Cheque
TX0004316028,2022-09-09T03:15:00Z,1501:80098AB60,16643:802EBD840,14209.85,Euro,14209.85,Euro,Credit Card
TX0004316085,2022-09-09T03:15:00Z,70:1004286A8,13057:805C914F0,193.14,Euro,193.14,Euro,Cheque
TX0004316137,2022-09-09T03:15:00Z,11:80203BC70,16991:8068B0E40,91.54,Euro,91.54,Euro,ACH
TX0004316176,2022-09-09T03:15:00Z,16388:80424B920,17861:806A51810,126.36,Euro,126.36,Euro,Credit Card
TX0004316204,2022-09-09T03:15:00Z,22806:801A327D0,27140:806E640A0,1930.78,Euro,1930.78,Euro,Credit Card
TX0004316227,2022-09-09T03:15:00Z,3514:8026FC2F0,20:80723BEC0,148.75,Euro,148.75,Euro,Cash
TX0004316228,2022-09-09T03:15:00Z,35093:807244360,15231:80723DD10,330.1,Euro,330.1,Euro,ACH
TX0004316233,2022-09-09T03:15:00Z,8354:803A325F0,8354:803A325F0,5979.21,US Dollar,5102.66,Euro,ACH
TX0004316234,2022-09-09T03:15:00Z,8354:803A325F0,15180:8072D36C0,5102.66,Euro,5102.66,Euro,Cheque
TX0004316278,2022-09-09T03:15:00Z,23555:8067E2020,24963:80783AAC0,22194.3,Euro,22194.3,Euro,Cheque
TX0004316280,2022-09-09T03:15:00Z,320551:80783AD80,6030:80783B810,388.68,Euro,388.68,Euro,ACH
TX0004316307,2022-09-09T03:15:00Z,37474:807912CD0,13959:807913A60,123.12,Euro,123.12,Euro,Cheque
TX0004316327,2022-09-09T03:15:00Z,22:801FF7CC0,22806:8079FE010,3435.0,Euro,3435.0,Euro,Cheque
TX0004316394,2022-09-09T03:15:00Z,4600:8027A54E0,28726:807C36B00,113.27,Euro,113.27,Euro,Cheque
TX0004316411,2022-09-09T03:15:00Z,315639:807F30530,12513:807F2DC30,188.72,Euro,188.72,Euro,Credit Card
TX0004316418,2022-09-09T03:15:00Z,12:8006A5230,12:8006A5230,3372.3,US Dollar,2877.92,Euro,ACH
TX0004316419,2022-09-09T03:15:00Z,12:8006A5230,12513:808024E20,2877.92,Euro,2877.92,Euro,Cheque
TX0004316495,2022-09-09T03:15:00Z,12797:801F2D060,117907:808597060,1025.35,Euro,1025.35,Euro,Cheque
TX0004316500,2022-09-09T03:15:00Z,21918:8023E9FE0,14011:8086629B0,61.45,Euro,61.45,Euro,Cash
TX0004316509,2022-09-09T03:15:00Z,12893:806199C60,12893:806199C60,28.99,US Dollar,24.74,Euro,ACH
TX0004316510,2022-09-09T03:15:00Z,12893:806199C60,17610:808915460,24.74,Euro,24.74,Euro,Cheque
TX0004316558,2022-09-09T03:15:00Z,4600:806C43360,18230:809003A20,5958.53,Euro,5958.53,Euro,Cash
TX0004316587,2022-09-09T03:15:00Z,32173:80936EE00,24850:809442A60,50.15,Euro,50.15,Euro,Cheque
TX0004316599,2022-09-09T03:15:00Z,2915:800DA3B20,28183:809551760,5853.57,Euro,5853.57,Euro,Credit Card
TX0004316634,2022-09-09T03:15:00Z,327530:80A006260,8455:80A0056D0,208.42,Euro,208.42,Euro,Credit Card
TX0004316727,2022-09-09T03:15:00Z,2591:80107F060,20727:80B2FAA70,678.21,Euro,678.21,Euro,Cheque
TX0004316739,2022-09-09T03:15:00Z,11318:802C1D370,11318:802C1D370,190.4,US Dollar,162.49,Euro,ACH
TX0004316740,2022-09-09T03:15:00Z,11318:802C1D370,1916:80B3A0080,162.49,Euro,162.49,Euro,Credit Card
TX0004316836,2022-09-09T03:15:00Z,70:1004286A8,28629:80B947E00,6.56,Euro,6.56,Euro,Cash
